run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
highest_weight_decay_attnFalse_losshuber_pcaNone,highest_weight_decay,False,huber,,0.2,1.0,0.001,0.001,0.32951388888888883,0.1314162615362907,0.2792536560446024,
highest_weight_decay_attnFalse_lossmse_pca2,highest_weight_decay,False,mse,2,0.2,1.0,0.001,0.001,0.38888888888888884,0.15495458400334994,0.27664648834615946,
highest_weight_decay_attnFalse_lossmse_pca4,highest_weight_decay,False,mse,4,0.2,1.0,0.001,0.001,0.4029265873015873,0.0897425602209525,0.23172190800930065,
highest_weight_decay_attnFalse_lossmse_pca8,highest_weight_decay,False,mse,8,0.2,1.0,0.001,0.001,0.2930555555555555,0.7756266383324847,0.623857993244504,
highest_weight_decay_attnFalse_lossmse_pcaNone,highest_weight_decay,False,mse,,0.2,1.0,0.001,0.001,0.17881944444444442,0.148162043788011,0.2986723544308916,
highest_weight_decay_attnFalse_lossmae_pca2,highest_weight_decay,False,mae,2,0.2,1.0,0.001,0.001,0.3729166666666666,0.3715716065892626,0.34570178521486616,
highest_weight_decay_attnFalse_lossmae_pca4,highest_weight_decay,False,mae,4,0.2,1.0,0.001,0.001,0.3284722222222222,0.1913251999117939,0.34676731936633587,
highest_weight_decay_attnFalse_lossmae_pca8,highest_weight_decay,False,mae,8,0.2,1.0,0.001,0.001,0.4027777777777778,0.3681210570876544,0.4114847060991451,
highest_weight_decay_attnFalse_lossmae_pcaNone,highest_weight_decay,False,mae,,0.2,1.0,0.001,0.001,0.2222222222222222,0.1042067259813897,0.2299657331313938,
lower_lr_attnTrue_losshuber_pca2,lower_lr,True,huber,2,0.2,0.1,0.0005,0.001,0.21840277777777778,0.4700009564947528,0.44412253315870964,
lower_lr_attnTrue_losshuber_pca4,lower_lr,True,huber,4,0.2,0.1,0.0005,0.001,0.2795138888888889,0.24910621307389985,0.37313060932016623,
lower_lr_attnTrue_losshuber_pca8,lower_lr,True,huber,8,0.2,0.1,0.0005,0.001,0.19270833333333334,1.6210658891056806,0.7840878253336996,
lower_lr_attnTrue_losshuber_pcaNone,lower_lr,True,huber,,0.2,0.1,0.0005,0.001,0.21875,0.3419792370822289,0.5160941234401738,
lower_lr_attnTrue_lossmse_pca2,lower_lr,True,mse,2,0.2,0.1,0.0005,0.001,0.34375,0.7292502956726807,0.4350631623528898,
lower_lr_attnTrue_lossmse_pca4,lower_lr,True,mse,4,0.2,0.1,0.0005,0.001,0.203125,1.1644077531512984,0.7269672802649438,
lower_lr_attnTrue_lossmse_pca8,lower_lr,True,mse,8,0.2,0.1,0.0005,0.001,0.16944444444444445,0.09296724944625381,0.20825931259120503,
lower_lr_attnTrue_lossmse_pcaNone,lower_lr,True,mse,,0.2,0.1,0.0005,0.001,0.3680555555555556,0.23361329968865083,0.39098661206662655,
lower_lr_attnTrue_lossmae_pca2,lower_lr,True,mae,2,0.2,0.1,0.0005,0.001,0.4267361111111111,0.8509056882159974,0.7488395360996947,
lower_lr_attnTrue_lossmae_pca4,lower_lr,True,mae,4,0.2,0.1,0.0005,0.001,0.1736111111111111,0.47730276622669,0.5138868292948852,
lower_lr_attnTrue_lossmae_pca8,lower_lr,True,mae,8,0.2,0.1,0.0005,0.001,0.3579861111111111,0.511752125267785,0.44825429399497807,
lower_lr_attnTrue_lossmae_pcaNone,lower_lr,True,mae,,0.2,0.1,0.0005,0.001,0.34375,0.23177514068144897,0.3709650724194944,
lower_lr_attnFalse_losshuber_pca2,lower_lr,False,huber,2,0.2,0.1,0.0005,0.001,0.3956349206349206,0.19497865437837597,0.31453276025907445,
