run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
lower_lr_attnTrue_lossmse_pca8,lower_lr,True,mse,8,0.2,0.1,0.0005,0.001,0.4553571428571428,0.18573289173155946,0.32175190591563785,
lower_lr_attnTrue_lossmse_pcaNone,lower_lr,True,mse,,0.2,0.1,0.0005,0.001,0.3489583333333333,0.09359631518642167,0.24302470769422752,
lower_lr_attnTrue_lossmae_pca2,lower_lr,True,mae,2,0.2,0.1,0.0005,0.001,0.27306547619047616,0.2893495750160348,0.35222546050014597,
lower_lr_attnTrue_lossmae_pca4,lower_lr,True,mae,4,0.2,0.1,0.0005,0.001,0.2645833333333333,0.10779140039626561,0.21966775417483103,
lower_lr_attnTrue_lossmae_pca8,lower_lr,True,mae,8,0.2,0.1,0.0005,0.001,0.17395833333333333,0.2443258511745774,0.39516289594272774,
lower_lr_attnTrue_lossmae_pcaNone,lower_lr,True,mae,,0.2,0.1,0.0005,0.001,0.26458333333333334,0.08838145860359328,0.1724968226820541,
lower_lr_attnFalse_losshuber_pca2,lower_lr,False,huber,2,0.2,0.1,0.0005,0.001,0.25416666666666665,1.4059134672879476,0.6172841474957143,
lower_lr_attnFalse_losshuber_pca4,lower_lr,False,huber,4,0.2,0.1,0.0005,0.001,0.25416666666666665,0.1278788674986978,0.2653900550212711,
lower_lr_attnFalse_losshuber_pca8,lower_lr,False,huber,8,0.2,0.1,0.0005,0.001,0.43680555555555556,1.0179705464222604,0.5559285765436167,
lower_lr_attnFalse_losshuber_pcaNone,lower_lr,False,huber,,0.2,0.1,0.0005,0.001,0.36979166666666663,0.12511326244326487,0.2702207256418963,
lower_lr_attnFalse_lossmse_pca2,lower_lr,False,mse,2,0.2,0.1,0.0005,0.001,0.41874999999999996,0.12811604384838118,0.2717568779674669,
lower_lr_attnFalse_lossmse_pca4,lower_lr,False,mse,4,0.2,0.1,0.0005,0.001,0.47619047619047616,0.2095438994615552,0.29628878366202116,
lower_lr_attnFalse_lossmse_pca8,lower_lr,False,mse,8,0.2,0.1,0.0005,0.001,0.2333333333333333,0.21680177494897973,0.32035676801266766,
lower_lr_attnFalse_lossmse_pcaNone,lower_lr,False,mse,,0.2,0.1,0.0005,0.001,0.2673611111111111,0.09896666385883379,0.22567668044939637,
lower_lr_attnFalse_lossmae_pca2,lower_lr,False,mae,2,0.2,0.1,0.0005,0.001,0.5069444444444444,0.7442868116370807,0.4790100300839792,
lower_lr_attnFalse_lossmae_pca4,lower_lr,False,mae,4,0.2,0.1,0.0005,0.001,0.29861111111111105,0.21506636585504138,0.305642910078556,
lower_lr_attnFalse_lossmae_pca8,lower_lr,False,mae,8,0.2,0.1,0.0005,0.001,0.2552083333333333,1.5062573675906412,0.533487219363451,
lower_lr_attnFalse_lossmae_pcaNone,lower_lr,False,mae,,0.2,0.1,0.0005,0.001,0.3003472222222222,0.11460087073064143,0.2578015753533691,
lowest_lr_attnTrue_losshuber_pca2,lowest_lr,True,huber,2,0.2,0.1,0.0001,0.001,0.16458333333333333,1.2689307788348816,0.8007045468160262,
lowest_lr_attnTrue_losshuber_pca4,lowest_lr,True,huber,4,0.2,0.1,0.0001,0.001,0.09583333333333333,0.2189839786560685,0.3233951868508787,
