region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
CrossRegion,Microglia,geFalse_attnTrue_pca16_baseline,baseline,False,True,16,0.21388888888888888,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_higher_dropout,higher_dropout,False,True,16,0.33055555555555555,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_highest_dropout,highest_dropout,False,True,16,0.3145833333333333,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_higher_weight_decay,higher_weight_decay,False,True,16,0.2854166666666667,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_highest_weight_decay,highest_weight_decay,False,True,16,0.24791666666666665,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_lower_lr,lower_lr,False,True,16,0.2770833333333333,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_lowest_lr,lowest_lr,False,True,16,0.18055555555555555,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_higher_lambda_entropy,higher_lambda_entropy,False,True,16,0.21388888888888888,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca16_highest_lambda_entropy,highest_lambda_entropy,False,True,16,0.21805555555555556,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnTrue_pca16_dropout_wd,dropout_wd,False,True,16,0.1986111111111111,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_dropout_lr,dropout_lr,False,True,16,0.3388888888888889,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_wd_lr,wd_lr,False,True,16,0.26458333333333334,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca16_all_moderate,all_moderate,False,True,16,0.18333333333333332,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca16_all_strong,all_strong,False,True,16,0.19791666666666669,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca2_baseline,baseline,False,False,2,0.26666666666666666,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_higher_dropout,higher_dropout,False,False,2,0.19097222222222224,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_highest_dropout,highest_dropout,False,False,2,0.19999999999999998,0.0,0.0,0.5,0.1,0.001,0.001,
